1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
None,None,None,None,None,None,None,None,K2TOG,K2TOG,C1,SSK,SSK,None,None,None,None,None,None,None,None,MC,C2,MC
None,None,None,None,None,None,None,K2TOG,K2TOG,C1,C1,C1,SSK,SSK,None,None,None,None,None,None,None,C2,C2,C2
None,None,None,None,None,None,K2TOG,K2TOG,C1,C1,MC,MC,C1,SSK,SSK,None,None,None,None,None,None,MC,C2,MC
None,None,None,None,None,K2TOG,K2TOG,C1,C1,MC,C1,C1,C1,C1,SSK,SSK,None,None,None,None,None,MC,C2,MC
None,None,None,None,K2TOG,K2TOG,C1,C1,MC,MC,C1,MC,MC,MC,C1,SSK,SSK,None,None,None,None,C2,C2,C2
None,None,None,K2TOG,K2TOG,C1,C1,MC,C1,C1,C1,C1,MC,C1,C1,C1,SSK,SSK,None,None,None,MC,C2,MC
None,None,K2TOG,K2TOG,C1,C1,MC,MC,C1,MC,MC,MC,MC,C1,MC,MC,C1,SSK,SSK,None,None,MC,C2,MC
None,K2TOG,K2TOG,C1,C1,MC,C1,C1,C1,C1,MC,MC,C1,C1,C1,C1,C1,C1,SSK,SSK,None,C2,C2,C2
K2TOG,K2TOG,C1,C1,MC,MC,C1,MC,MC,MC,C1,C1,C1,MC,MC,MC,MC,MC,C1,SSK,SSK,MC,C2,MC
MC,C1,C1,MC,C1,C1,C1,C1,MC,C1,C1,MC,MC,C1,MC,MC,MC,C1,C1,C1,MC,MC,C2,MC
C1,C1,MC,MC,C1,MC,MC,MC,MC,C1,MC,C1,C1,C1,C1,MC,C1,C1,MC,MC,C1,C2,C2,C2
MC,MC,C1,C1,C1,C1,MC,MC,C1,C1,MC,C1,MC,MC,MC,MC,C1,MC,C1,C1,C1,MC,C2,MC
C1,C1,C1,MC,MC,MC,C1,C1,C1,MC,MC,C1,C1,MC,MC,C1,C1,MC,C1,MC,MC,MC,C2,MC
C1,MC,MC,C1,MC,C1,C1,MC,MC,C1,C1,C1,MC,C1,C1,C1,MC,MC,C1,C1,C1,C2,C2,C2
MC,C1,C1,C1,MC,C1,MC,C1,C1,C1,MC,MC,MC,C1,MC,MC,C1,C1,C1,MC,MC,MC,C2,MC
C1,C1,MC,MC,MC,C1,MC,C1,MC,MC,C1,MC,C1,C1,C1,C1,C1,MC,MC,C1,MC,MC,C2,MC
C1,MC,C1,MC,C1,C1,MC,C1,C1,C1,C1,MC,C1,MC,MC,MC,MC,C1,C1,C1,MC,C2,C2,C2
C1,MC,C1,MC,C1,MC,MC,C1,MC,MC,MC,MC,C1,C1,MC,MC,C1,C1,MC,MC,MC,MC,C2,MC
C1,MC,C1,MC,C1,C1,C1,C1,C1,MC,MC,C1,C1,MC,C1,C1,C1,MC,C1,MC,C1,MC,C2,MC
MC,MC,C1,MC,C1,MC,MC,MC,MC,C1,C1,C1,MC,MC,C1,MC,MC,MC,C1,MC,C1,C2,C2,C2
C1,C1,C1,MC,C1,C1,MC,MC,C1,C1,MC,MC,C1,C1,C1,C1,MC,C1,C1,MC,C1,MC,C2,MC
