Name,Yarn,Link,Image_URL,Hex Code Blend,Hex Code
"<a href=""https://www.jamiesonsofshetland.co.uk/101-shetland-black-spindrift-7-p.asp"">101 Shetland Black Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/101-shetland-black-spindrift-7-p.jpg?w=439&h=439&v=642022-083047"" alt=""101 Shetland Black Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/101-shetland-black-spindrift-7-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/101-shetland-black-spindrift-7-p.jpg?w=439&h=439&v=642022-083047,#1e1a17,#1e1a17
"<a href=""https://www.jamiesonsofshetland.co.uk/102-shaela-spindrift-23-p.asp"">102 Shaela Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/102-shaela-spindrift-23-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""102 Shaela Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/102-shaela-spindrift-23-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/102-shaela-spindrift-23-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#2f2c28,#34312c
"<a href=""https://www.jamiesonsofshetland.co.uk/103-sholmit-spindrift-30-p.asp"">103 Sholmit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/103-sholmit-30-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""103 Sholmit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/103-sholmit-spindrift-30-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/103-sholmit-30-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#68665d,#817f73
"<a href=""https://www.jamiesonsofshetland.co.uk/104-natural-white-spindrift-4-p.asp"">104 Natural White Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/104-natural-white-spindrift-spindrift-double-knitting-double-knitting-34-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""104 Natural White Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/104-natural-white-spindrift-4-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/104-natural-white-spindrift-spindrift-double-knitting-double-knitting-34-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#a6a291,#edead9
"<a href=""https://www.jamiesonsofshetland.co.uk/105-eesit-spindrift-35-p.asp"">105 Eesit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/105-eesit-spindrift-spindrift-double-knitting-double-knitting-37-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""105 Eesit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/105-eesit-spindrift-35-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/105-eesit-spindrift-spindrift-double-knitting-double-knitting-37-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#aaa494,#d8d1bf
"<a href=""https://www.jamiesonsofshetland.co.uk/106-mooskit-spindrift-38-p.asp"">106 Mooskit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/106-mooskit-spindrift-spindrift-double-knitting-double-knitting-40-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""106 Mooskit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/106-mooskit-spindrift-38-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/106-mooskit-spindrift-spindrift-double-knitting-double-knitting-40-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#7b7466,#bcb4a1
"<a href=""https://www.jamiesonsofshetland.co.uk/107-mogit-spindrift-41-p.asp"">107 Mogit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/107-mogit-spindrift-spindrift-double-knitting-double-knitting-43-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""107 Mogit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/107-mogit-spindrift-41-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/107-mogit-spindrift-spindrift-double-knitting-double-knitting-43-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#5a4d40,#81705e
"<a href=""https://www.jamiesonsofshetland.co.uk/108-moorit-spindrift-44-p.asp"">108 Moorit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/108-moorit-spindrift-spindrift-double-knitting-double-knitting-46-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""108 Moorit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/108-moorit-spindrift-44-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/108-moorit-spindrift-spindrift-double-knitting-double-knitting-46-p.jpg?w=439&h=439&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#44372c,#4c3e31
"<a href=""https://www.jamiesonsofshetland.co.uk/109-blackshaela-spindrift-47-p.asp"">109 Black/Shaela Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/109-black-shaela-spindrift-spindrift-double-knitting-double-knitting-49-p.jpg?w=439&h=440&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""109 Black/Shaela Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/109-blackshaela-spindrift-47-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/109-black-shaela-spindrift-spindrift-double-knitting-double-knitting-49-p.jpg?w=439&h=440&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#272320,#2e2925
"<a href=""https://www.jamiesonsofshetland.co.uk/110-blacksholmit-spindrift-50-p.asp"">110 Black/Sholmit Spindrift</a>","<img src=""https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/110-black-sholmit-spindrift-spindrift-double-knitting-double-knitting-52-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee"" alt=""110 Black/Sholmit Spindrift"" style=""width:100px;height:100px;"">",https://www.jamiesonsofshetland.co.uk/110-blacksholmit-spindrift-50-p.asp,https://18.cdn.ekm.net/ekmps/shops/jamiesons/images/110-black-sholmit-spindrift-spindrift-double-knitting-double-knitting-52-p.jpg?w=440&h=441&v=564edfb7-64f3-4c43-9e78-bc65e6070aee,#2d2a26,#2b2622
